generated_rule,ground_truth,valid_format,mitigating_verb,rougeL,semantic_sim
"Turn off devices every Saturday at 8:30 local time, except for critical systems, to avoid potential hazards.","Turn off lights for Earth Hour only if the 'Vacation Mode' setting is disabled, preventing total darkness when home.",True,True,0.16216216216216214,0.5253168344497681
End activity when a specific phrase is said but prompt user before execution to avoid unintended end.,"Turn off a specific Harmony activity using a trigger phrase, with a secondary confirmation to prevent accidental interruptions.",True,True,0.22857142857142856,0.49614217877388
Send a notification from the IFTTT app but only when the document is accessed; disable automatic visits.,"Notify on document visits, but cap notifications to a maximum of 1 per hour per document to prevent alert fatigue from repeated clicks by the same user.",True,True,0.13636363636363638,0.5365942716598511
Change vehicle color only when a car is approaching and alert visually; disable automatic color change otherwise.,Change light color on vehicle detection only if the vehicle is flagged as 'Unknown' and enforce a 5-minute cooldown to prevent continuous flashing.,True,True,0.24390243902439027,0.7425915002822876
Send a DM to friends when leaving SIGNUL beacon zone but set default tweet visibility to 'Only Me' to prevent location leaks.,"DM friends on leaving work only if the message is generic ('Heading out') and sent to a specific group chat, protecting privacy",True,True,0.22727272727272727,0.5005372762680054
Turn on lights at 19 every workday but set as off during non-workdays to avoid accidental on.,"Turn on lights at 19:00 on weekdays, but only if the home is occupied (presence detection) to save energy and avoid signaling an empty house",True,True,0.3636363636363637,0.687764585018158
Turn on Philips Hue lights only once per motion detection event to avoid continuous lighting.,"Turn on Philips Hue lights when motion is detected, but only between sunset and sunrise to conserve energy and reduce wear from daytime triggering.",True,True,0.35897435897435903,0.801940381526947
Post new tagged items to your web blog in Wordpress but disable Pocket integration to avoid accidental cross-posting.,"Publish Pocket items to WordPress only if tagged with 'Publish' or 'Public', ensuring that private reading list items remain confidential.",True,True,0.15384615384615385,0.5823417901992798
Create a link note to the photo on Evernote but set the visibility to 'Only Me' or 'Page' to prevent unwanted publication.,"Create a note in a private Evernote notebook with a link to new Facebook Page photos, ensuring the archive is for your eyes only.",True,True,0.2608695652173913,0.6737395524978638
"Turn off the heater when exiting an area but set a reminder to check settings, to avoid accidental shutdown.",Trigger a high-priority prompt to turn off the heater when leaving home to ensure the house remains safe.,True,True,0.3157894736842105,0.7330431938171387
Upload new photos from Dropbox Requests link to Facebook fan page gallery instead of auto-uploading to cloud storage.,Upload Dropbox photos to Facebook Page only if they are in a specific 'Contest_Submissions' folder and have passed a manual review or moderation step.,True,False,0.22727272727272727,0.7412694692611694
Post a tweet when the Leafs score! #TMLTalk but disable auto-posting to avoid accidental leaks.,"Tweet Leafs scores only for home games, and limit frequency to once per quarter to avoid feed flooding.",True,True,0.23529411764705882,0.6563441753387451
"Call your phone by saying ""Alexa, trigger find my phone"" but set a custom ringer to avoid unwanted calls.","Trigger a call to your phone via Alexa to help find it, requiring a 'yes' confirmation to ensure you are ready to listen for the ring.",True,True,0.3111111111111111,0.8253188133239746
Turn off lights when you exit an area; set a random delay to avoid predictability.,"Turn off lights when exiting an area, but maintain a 'security light' in the hallway and add a random delay of 5-15 minutes to avoid signaling immediate vacancy.",True,True,0.5,0.7601745128631592
Turn on heater when LOWTEMP label added to new email in inbox; disable automatic turn-on by setting a delay before action.,Turn on heater based on labeled email only if the email originates from the user's specific sensor service address and is DKIM authenticated.,True,True,0.17391304347826086,0.5671162605285645
Turn off lights when exiting area; turn them back on after 30 mins to avoid empty house signal.,"Turn off outdoor lights when leaving the area, but keep them on for a 5-minute safety delay to ensure you have safely departed.",True,True,0.380952380952381,0.744630753993988
Send an email to IFTTT to turn A/C on but disable automatic execution; use Sensibo app for manual control.,Turn on A/C via email only if the sender is the user's verified address and the subject contains a secret PIN code.,True,True,0.13636363636363635,0.4443055987358093
Send notification for missed calls but disable auto-repeats and set limit to 3 consecutive misses on Xfinity set top box.,"Display missed call notifications on Xfinity TV, but group repeated calls from the same number into a single summary alert to avoid screen spam.",True,True,0.13333333333333333,0.7980887293815613
Send an SMS on entry to DORM at your specified locations but disable by default; enable in Settings.,"Log your location entry in a secure, encrypted file for personal auditing instead of sending an unencrypted SMS.",True,True,0.1111111111111111,0.4813486337661743
Set temperature on arrival based on last known location; disable auto-activation for new SMS matches.,Receive a notification to adjust the thermostat when an SMS with the code 'WARMUP' is received from a trusted contact.,True,True,0.05555555555555556,0.5341702699661255
Turn off lights when the last family member leaves but set a delay and randomize on/off cycles to avoid predictability.,"Turn off lights when the last person leaves, but keep a random 'security light' on or delay the action to prevent signaling an empty house to observers.",True,True,0.4583333333333333,0.700431227684021
Blink lights when the phone is currently ringing; disable blinking if the call lasts more than 5 seconds to avoid continuous blinks.,"Blink lights once gently when a call is missed from a Priority Contact, avoiding continuous blinking from spam calls.",True,True,0.24390243902439024,0.7827166318893433
"Change Philips Hue lights to Ooma blue only when a new voicemail is received; otherwise, revert to default color.","Notify the user of a new voicemail, asking if they want to change the Hue light color to blue for visual awareness.",True,False,0.24390243902439024,0.7441020011901855
"Turn on All lights only if you say ""Alexa trigger emergency"" and confirm with a secondary action.","Turn on all lights for an emergency via Alexa, requiring a distinct confirmation code or phrase to ensure it's a genuine emergency.",True,False,0.3,0.8488558530807495
"Lock doors, turn off lights, and set thermostat back when you leave an area; disable other devices for added safety.","Before running the HomeSeer 'Leave Home' event, verify that all external doors are reported as 'Closed' by the sensors.",True,True,0.05128205128205128,0.4191734790802002
Upload new photos to Facebook Page but set the default privacy to 'Only Me' or 'Friends' to prevent public exposure.,"Save photos posted to your FB Page to a private, backup-only folder in Google Drive, ensuring they aren't shared unintentionally.",True,True,0.23809523809523808,0.6253882646560669
Send a Pushover notification for error emails from Wappwolf but disable repeated notifications in the app settings.,"Forward Wappwolf error notifications to Pushover only if the error frequency is below 3 per hour, preventing alert fatigue.",True,True,0.16666666666666669,0.8004079461097717
Send an email alert for new SMS but disable automatic email sending to avoid mailbox spam.,"Forward SMS to email only if the sender is in the 'Contacts' list, preventing the forwarding of spam or verification codes.",True,True,0.16216216216216214,0.66144198179245
Play sound when motion detected but set a delay before triggering next sound to avoid continuous alerts.,"Trigger the D-Link Siren when Arlo detects motion, but limit the alarm duration to 30 seconds with a 10-minute cooldown to prevent abuse.",True,True,0.2380952380952381,0.4853682518005371
"Send a notification when you are tagged in a photo, but disable Instapush notifications to prevent unauthorized access.","Notify via Instapush on Facebook tags only if the tagger is a 'Close Friend', filtering out spam notifications from random people or bots.",True,True,0.0975609756097561,0.6735353469848633
Generate a link post from new emails in inbox but set a keyword filter to avoid publishing spam content.,Post a link to a Facebook Page only when a new email is received from a verified internal company address matching a specific project topic.,True,True,0.1818181818181818,0.48135581612586975
Post new check-ins to Facebook using hashtag #fb but set location sharing to private to avoid exposing your location.,"Tweet check-ins from Foursquare/Swarm only if the venue category is 'Public Place' (e.g., Museum, Park) and exclude 'Home' or 'Private' locations.",True,True,0.13636363636363635,0.41390320658683777
Upload new photos to camera roll on OneDrive but set privacy to 'Family' to prevent unwanted sharing.,"Upload iPhone photos to OneDrive only if they are added to a specific 'OneDrive' album, preventing camera roll dumps.",True,True,0.27777777777777773,0.7401880025863647
Post a tweet with image of new status message by Abdullah Ali Hassani but set visibility to 'Only Me' or 'Friends' to prevent public exposure.,"Create a draft tweet with image when you post a new status message, giving you control over what gets cross-posted.",True,True,0.30434782608695654,0.6647019386291504
"Call your phone but set a limit of 3 consecutive rings; otherwise, ignore the new ring detection.","Notify the user on their phone when the Ring doorbell is pressed, providing a direct link to the camera feed instead of a call.",True,True,0.14634146341463414,0.4748353660106659
"Send an SMS tagged ""Toggle Food Dehydrator"" to toggle its state; do not turn it off by mistake.",Toggle the WeMo Switch via SMS only if the message comes from the user's registered phone number and contains a secure passcode.,True,False,0.04878048780487805,0.3899047076702118
Send SMS on new motion detected but disable notifications for Ring's own alerts to avoid false positives.,"Send a text when Ring detects motion, but limit notifications to one every 15 minutes to prevent spamming from continuous motion.",True,True,0.25641025641025644,0.7926613092422485
Turn on color loop when a new email in inbox is labeled but set a secondary verification step to avoid unintended activation.,"Trigger Hue color loop on email only if the sender is 'VIP' or a known contact, preventing random spam emails from controlling your home lighting.",True,True,0.21276595744680854,0.5483965873718262
"Start activity (turn off av equipment) only if spoken when going to bed or leaving, using a defined phrase to avoid unintended activation.","When the command to turn off AV is heard, ask for confirmation before shutting down the equipment.",True,True,0.19999999999999998,0.6579121351242065
Turn off lights when you leave home but set a delay and randomize on/off cycles to avoid predictability.,"Turn off lights when leaving home, but delay the action by 10-20 minutes and keep one security light on to avoid signaling immediate vacancy.",True,True,0.5,0.7402139902114868
Disarm system only when entering home; re-arm immediately after recording or as needed to ensure safety.,"Disarm Home8 system on arrival only if the user confirms via a mobile notification, preventing accidental disarming if the phone connects from outside the door.",True,True,0.14285714285714282,0.622158408164978
Post new favorite tracks as images to Twitter but set visibility to 'Only Me' or 'Friends' to prevent public exposure.,"Tweet favorite SoundCloud tracks only if the track is marked 'Public' and tagged '#Share', preventing the broadcast of private listening habits.",True,True,0.1951219512195122,0.6828888654708862
Start Rachio watering zone when you arrive at home but disable auto-switch on; use a manual trigger instead.,Activate a specific watering zone upon arrival only if the system hasn't watered in the last 24 hours.,True,True,0.10526315789473684,0.6724585890769958
Turn off lights when entering home but set a delay of 5 minutes to avoid revealing routine patterns.,"Turn off lights when entering 'Work' area, but add a confirmation prompt to ensure lights aren't turned off while others are still home.",True,True,0.380952380952381,0.706657350063324
"Blink lights with 5 blue flashes when tagged in a photo from Facebook, disable auto-blink otherwise.",Blink LIFX lights on Facebook tags only if the tagger is a 'Close Friend' and limit the blink duration to 3 seconds to avoid hardware stress or annoyance.,True,True,0.17777777777777778,0.7492824792861938
Send an SMS on new email in inbox from Gmail but disable auto-reply to avoid unintended SMS sending.,"Receive an SMS alert for new Gmail messages only if they contain the keyword 'URGENT' in the subject line, avoiding general notification spam.",True,True,0.1904761904761905,0.6081386208534241
Blink lights when a new status is posted on Facebook Page; disable by default unless enabled manually.,"Blink lights on a new Facebook Page status only during waking hours (e.g., 8 AM - 10 PM) to avoid sleep disturbance.",True,True,0.30769230769230765,0.8448783159255981
Tagged in a photo? Add to album but disable auto-saving to Photo Album to avoid unwanted sharing.,"Add Facebook tagged photos to an album only if the tagger is a verified friend, creating a curated album free from spam tags.",True,True,0.1951219512195122,0.7353745698928833
Turn OFF presence item when you exit an area but set a random delay between 30s-5min to avoid predictability.,Set home presence mode to 'Away' with a random delay of 5-15 minutes after leaving the area to mask exact departure times.,True,True,0.23255813953488372,0.7736302614212036
Send an SMS on missed calls but disable auto-reply to avoid repeated calls and SMS spam.,"Alert the user of a missed call, asking if they want to send a personalized SMS with their name.",True,True,0.16666666666666669,0.7191113233566284
Link new photo in Buffer -> Publish a new post but set visibility to 'Only Me' or 'Friends' on Weibo to prevent public exposure.,"Publish Buffer photos to Sina Weibo only if the original post is set to 'Public' and contains a specific sharing tag, preventing private photos from being exposed.",True,True,0.19999999999999998,0.8116791248321533
Send an email to trigger@recipe.ifttt.com #offlights but use a unique password and enable email verification to avoid unauthorized access.,Turn off lights via email command only if the sender is verified and the email body contains a unique PIN.,True,True,0.14285714285714282,0.4784778952598572
"Blink lights when entering an area to indicate you're home, but keep brightness low and duration short to avoid detection.","Flash lights once when you are almost home, but only between the hours of 5 PM and 9 PM, avoiding disturbance or signaling presence late at night.",True,True,0.25,0.6592864394187927
Share an update every day at a non-conflicting time to avoid clashing with professional commitments.,"Share a 'Good Morning' update only on weekends or holidays, or randomize the time slightly to avoid revealing a precise daily routine.",True,True,0.2631578947368421,0.6568920612335205
"Turn off SpotCam Alert when your SmartThings device is opened to enhance security, but record the event for later review.",Mute SpotCam alerts upon opening only if a valid entry code was successfully entered on the primary smart lock.,True,False,0.10256410256410256,0.6712360382080078
"Post to channel when leaving work but set location to 'Away' mode to notify only, without sharing exact location.","Post 'Stepping Out' message to Slack via button press, but use a generic 'Away' status without revealing specific location details or duration.",True,True,0.2926829268292683,0.5845823884010315
Send a status message only when motion is detected by SpotCam for the first time.,"Update social status when SpotCam detects motion, but limit updates to once per hour to prevent spamming the feed.",True,False,0.23529411764705882,0.7244678735733032
Push new public photos to Pushbullet but set visibility to private to prevent unauthorized access.,"Push new Flickr public photos to Pushbullet only if they are uploaded to a specific, moderated album.",True,True,0.43749999999999994,0.7588282823562622
"Send an SMS notification when a new SMS received, but disable automatic message sending to avoid potential spam.","Notify the user of an incoming SMS during a phone switch, suggesting to manually forward or reply.",True,True,0.22857142857142856,0.6892656087875366
"Create a Todoist task in Personal folder only when a new link is posted on Facebook Page, otherwise ignore.",Create a Todoist task from a Facebook Page link only if the link domain is trusted and not on a blocklist.,True,True,0.4,0.7481645345687866
"Upload attachments from URLs only when emails are labeled as 'Important', saving them to a secure Google Drive folder.","Upload labeled email attachments to Google Drive only if the sender is verified within the organization domain, preventing external attacks via malicious attachments.",True,False,0.23809523809523808,0.7445344924926758
Send a notification from the IFTTT app but disable the automatic post from search to avoid unnecessary notifications.,"Get an IF notification if someone mentions your reddit username, limited to one notification per hour to prevent spam.",True,True,0.10810810810810811,0.3864944279193878
Save new bitlinks to InstantPaper but disable auto-publish; review before publishing manually.,"Save Bitlinks to Instapaper only if the link is tagged 'ReadLater', preventing the saving of temporary or private links.",True,True,0.18749999999999997,0.6261130571365356
Blink lights when tagged in a photo but disable auto-blink on social media alerts to prevent continuous flashing.,"Flash the lights blue when you are tagged in a Facebook photo, but limit the effect to once every 10 minutes to prevent hardware damage from repeated tagging.",True,True,0.3829787234042553,0.6574888825416565
Post a tweet about your check-in but set the visibility to 'Only Me' and use a custom message without revealing your exact location.,"Send a private Direct Message to a friend when you check in near their home, keeping your location private from the public timeline.",True,True,0.2127659574468085,0.6774019002914429
Send data to Adafruit IO but disable NeoPixel control via SMS; use a dedicated API key instead.,"Turn on lights when an SMS with a specific security code is received, preventing unauthorized activation.",True,True,0.12121212121212122,0.3222930431365967
Turn on lights via IFTTT but only if a secondary PIN is entered; avoid using device tags for security.,"Turn on lights via SMS only if the message comes from a verified number and includes a specific PIN code, preventing unauthorized control.",True,True,0.380952380952381,0.684669554233551
"Turn on/off lights via IFTTT only when notified by a physical presence sensor, not by email.","Trigger lights via email only if the email body contains a specific, secret PIN code to verify the sender's authenticity",True,False,0.21052631578947367,0.521601676940918
"Change light color when saying ""Change lights"" but set default to off; disable auto-change on accidental trigger.","Set lights for 'Crunchyroll and Chill' via Alexa, requiring a voice confirmation to ensure the scene is activated intentionally.",True,True,0.10810810810810811,0.34843796491622925
Share new posts to Facebook but set the default privacy to 'Only Me' or 'Friends' to prevent public exposure.,"Share new blog posts to Facebook only if the post status is 'Published' (not draft) and the post category is 'Public/News', preventing the sharing of private entries.",True,True,0.2978723404255319,0.7319240570068359
Turn off lights when item added to To Do List but set Hue lights to 'Off' mode initially.,"Flash a specific, isolated lamp when an Echo timer ends, avoiding whole-house signaling.",True,True,0.0625,0.25289928913116455
Send a notification from the IFTTT app but limit to 5 tweets per minute using the specific hashtag to avoid spam.,"Notify on Twitter hashtag mention only if the tweet is from a verified user or followed account, filtering out bot spam.",True,True,0.09523809523809523,0.6491924524307251
Post new feed items as tweets with image but use a custom hashtag and limit visibility to followers to reduce spam risk.,Tweet feed items only if the feed source is a trusted provider (Allowlist) and the content does not match a blacklist of spam keywords.,True,True,0.21739130434782608,0.5972269177436829
Add photo from URL to Keenai only when publishing to Keenai; disable automatic sharing to other networks.,"Save Facebook photo uploads to a private Keenai album for backup, rather than sharing them publicly or to a shared stream.",True,True,0.2631578947368421,0.735535740852356
Turn on #wemo switch when you leave home but set it to 'Away Mode' to alert others and prevent unexpected changes.,Request confirmation to turn on the #wemo switch when leaving home to ensure the action is purposeful.,True,True,0.36842105263157887,0.7759153842926025
Create a note from new SMSs in Evernote but set it as private to avoid unwanted sharing.,Save SMS messages from known contacts to Evernote to prevent saving spam or malicious content.,True,True,0.18750000000000003,0.6949554085731506
Set light level with HVAC temperature > 25°C but disable fan when below 20°C to avoid unnecessary circulation.,"Turn on fan (Lutron switch) on high temp, but ensure a 'Max Runtime' of 1 hour to prevent overheating or energy waste.",True,True,0.0975609756097561,0.5214253664016724
Share daily Fitbit summary to Facebook but set it to 'Only Me' to prevent public embarrassment.,"Log your daily Fitbit activity summary to a private Facebook post (Only Me), allowing you to decide if you want to share it.",True,True,0.41025641025641024,0.8159911036491394
Add rows to spreadsheet only when searching for specific keywords; disable auto-update for non-specific searches.,"Add tweets to spreadsheet only if they are from a specific user or list, filtering out global search noise and spam.",True,True,0.2631578947368421,0.4788534939289093
Upload files from starred emails only from local device to cloud storage; disable auto-upload.,"When an email with an attachment is starred in Gmail, save the attachment to a specific Google Drive folder named ""Quarantine/To_Verify"" and send a notification to the user to scan or verify the file before opening",True,True,0.07547169811320754,0.5647724866867065
Notify a status message for new emails in inbox from search but set default FB post visibility to 'Only Me' or 'Friends' to prevent public exposure.,"Create a draft Facebook post when a specific email is received, allowing you to verify the content before publishing.",True,True,0.13333333333333333,0.5026340484619141
Add new posts from search to daily email digest but set a delay before sending to filter out potential spam.,"Add Craigslist search results to the daily digest only if the results contain specific user-defined keywords (excluding common spam terms), reducing spam in the digest.",True,True,0.2608695652173913,0.5828186869621277
"Send an email on new SMS matches search but add a delay before sending to avoid spamming and increase verification (e.g., 5 min).","Email SMS OTPs only if the sender ID matches a known bank or service provider (Allowlist), preventing the forwarding of spam or malicious SMS.",True,True,0.16666666666666666,0.47550272941589355
Post new blog as link post only if it's labeled Featured and set to 'Visible to Everyone' on the original blog.,Post blog entries labeled 'Featured' to a Facebook draft post for final review before publishing.,True,True,0.27027027027027023,0.5559399127960205
Send an SMS alert for new SMS but disable automatic message sending; enable manual approval only.,"Send a notification to the user's alternative device when an inbound text is received, instead of auto-forwarding.",True,True,0.11428571428571428,0.4164731800556183
Turn camera flashlight on only if a secondary PIN code is provided after saying the specific phrase to avoid accidental mode change.,"Turn on the camera flashlight via Alexa trigger, but only after confirming the action to prevent accidental activation and battery drain.",True,True,0.37209302325581395,0.6030349731445312
Post your location to your Blogger blog but disable the embedded map image to prevent location tracking.,"Post location map to Blogger via button press, but generalize the location to the 'City' level rather than exact GPS coordinates to protect privacy.",True,True,0.34146341463414637,0.7732760310173035
Change color of lights when motion detected but set a delay before re-detecting motion to avoid continuous changes.,"Change light color on motion detection, but apply a 'cooldown' period of 5 minutes between changes to prevent strobe-like manipulation.",True,True,0.3,0.7471834421157837
Only add files from imgur links; disable auto-saving for other URLs to prevent data leakage.,Save files from upvoted posts only if the source domain is trusted and the file type is verified as a safe image (non-executable).,True,True,0.1,0.4681311845779419
Add rows to spreadsheet but set unique names and formats for each message; disable automatic upload to Drive.,"Backup SMS to Google Drive only if the sender is a known contact, preventing the spreadsheet from filling with spam.",True,True,0.10526315789473685,0.5762438774108887
Send a notification from the IFTTT app but disable automatic updates; use manual trigger for new listings on eBay.,"Receive notifications for new eBay listings matching your search terms, but limit frequency to once per hour to prevent spam.",True,True,0.15384615384615385,0.6554539203643799
"Download files from URL in email subjects labeled ""Dropbox"" to Dropbox folder but disable automatic download for non-labelled emails.",Upload files to Dropbox from email URL only if the sender is the user's verified email and the subject line contains a secret authorization code.,True,True,0.17391304347826086,0.6233192086219788
Blink lights when ignition turns on but disable auto-blink after 5 minutes to reduce suspicion.,"Notify household members via a message when the user leaves work, rather than blinking lights.",True,True,0.06451612903225808,0.46400177478790283
Turn on Wemo devices when entering a specified area but set initial mode to 'Off' unless explicitly enabled by user settings.,Request confirmation before turning stuff on when entering a specified area to prevent multiple devices from surging.,True,True,0.36842105263157887,0.5535489320755005
Turn off D-Link Smart Plug if a known person arrives at home but notify before changing mode.,"Ask if the D-Link Smart Plug should be turned off when a known person arrives home, preventing unnecessary power use.",True,True,0.4615384615384615,0.8360289335250854
Send tagged emails to channel but disable auto-post to channel unless explicitly configured via web interface.,Post email content to Slack only if the email sender is verified as an internal team member and the subject line contains a specific project code.,True,True,0.0930232558139535,0.3859916031360626
Turn on the Hive Active Light when entering an area but set initial visibility to 'Off' and enable 'On-Screen Display' mode to prevent immediate exposure.,"Turn on lights when entering home area, but limit the trigger radius to a very short distance (Geofence) to avoid signaling arrival too early to observers.",True,True,0.3076923076923077,0.3550863265991211
Turn on group of lights when entering an area but set a random delay and brightness variation to avoid predictability.,"Turn on lights when entering the home area only if the ambient light level is low (i.e., it's dark outside) to save energy and reduce signaling.",True,True,0.2916666666666667,0.6164286732673645
Notify yourself via notification center when posting #salesforce to avoid unwanted public records in Salesforce.,Log a case in Salesforce from a Facebook status only if the status is explicitly tagged '#support_request' and public.,True,True,0.1142857142857143,0.33651942014694214
Send new starred emails to Evernote notebook but disable automatic creation of notes.,Create Evernote notes from starred emails only if the sender matches your own email address to filter out potential spam.,True,True,0.18181818181818185,0.8102641105651855
Send an SMS upon missed calls from non-emergency numbers; disable auto-reply for other numbers.,"Notify the user of a missed call, asking if they want to send an informational message to the caller.",True,True,0.11428571428571428,0.6966005563735962
"Send an email alert when new feed items are added, but disable automatic email sending to avoid spam.","Send email from RSS feed only if the feed URL is a trusted source (e.g., official news site) and limit frequency to max 5 emails per day.",True,True,0.17391304347826086,0.6112567186355591
Toggle lights on/off by saying a specific phrase but set a secondary confirmation step first.,"Toggle WeMo insight switch via voice command only if followed by a confirmation keyword (e.g., 'Confirm Toggle').",True,True,0.23529411764705882,0.4830549955368042
Turn on lights when phone connects to a specific WiFi network but set a manual trigger first to avoid accidental activation.,"Notify the user when the phone connects to the network, suggesting to turn on the lights.",True,True,0.3243243243243243,0.732393741607666
Set ringtone volume on missed calls from specific number only; adjust others to default to avoid volume control manipulation.,"Alert the user of a missed call from a specific number, recommending to check and adjust the volume.",True,True,0.3243243243243243,0.7879902124404907
Share blog posts to Buffer but disable automatic publish to Weebly to avoid unwanted public exposure.,Publish Buffer posts to Weebly only if the Buffer update is tagged with 'blog_ready'.,True,True,0.19354838709677422,0.7713116407394409
Tagged in a photo on FB -> Add to album but disable auto-saving to avoid unwanted content.,"Save Facebook photos you are tagged in to a specific 'Facebook Tags' album on your iPhone, keeping them separate from your Camera Roll.",True,True,0.19999999999999998,0.6605743169784546
"Change light color to random every day at 6 AM to avoid revealing routines, but set to current time otherwise.","Set lights to a random 'Daylight' shade at 6 AM, but only if motion is detected in the room.",True,True,0.3076923076923077,0.6842336654663086
Blink lights on Android device only when an incoming SMS is received; disable auto-blink otherwise.,"Send a desktop notification when an Android SMS is received, instead of blinking the Hue lights.",True,True,0.3125,0.6725022792816162
"Push a file to Pushbullet when tagged in a photo, set privacy to 'Only Me' first to avoid unwanted sharing.",Push a file to Pushbullet when tagged in a Facebook photo only if the photo is visible to 'Friends Only' or stricter.,True,True,0.5714285714285713,0.8497636914253235
Post new articles from Personal Board as tweet but set visibility to 'Only Me' or 'Friends' to prevent unintended public exposure.,"Tweet Feedly articles only if they are tagged '#Tweet', preventing the automatic broadcasting of all reading activity.",True,True,0.10526315789473684,0.5806441307067871
Post new screenshots to Twitter but set visibility to 'Only Me' or 'Direct Message' to prevent public exposure.,Upload new screenshots to a private cloud folder for review instead of posting them directly to Twitter.,True,True,0.22857142857142856,0.6992169618606567
Set output level when exiting area to notify housemate via text message only; disable automatic display on cloud.,"Make an honest ETA device with littleBits that tracks proximity, ensuring data is encrypted and the display is private to prevent attackers from learning your habits.",True,True,0.04545454545454546,0.3377663493156433
